Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,59.820000,60.639999,58.549999,59.270000,59.270000,588900
2020-10-12,59.880001,60.560001,57.840000,59.099998,59.099998,278700
2020-10-13,58.630001,59.630001,57.980000,58.369999,58.369999,347600
2020-10-14,58.560001,61.000000,58.099998,59.270000,59.270000,524300
2020-10-15,58.160000,58.660000,56.340000,57.669998,57.669998,392200
2020-10-16,57.730000,59.110001,56.450001,56.830002,56.830002,785300
2020-10-19,57.240002,57.470001,53.130001,53.650002,53.650002,624200
2020-10-20,53.590000,54.180000,52.419998,53.439999,53.439999,462700
2020-10-21,53.410000,54.189999,51.889999,52.040001,52.040001,423600
2020-10-22,52.180000,56.290001,51.799999,54.980000,54.980000,936000
2020-10-23,55.200001,58.950001,55.040001,58.799999,58.799999,700000
2020-10-26,58.180000,58.910000,52.340000,53.200001,53.200001,473700
2020-10-27,53.029999,53.029999,50.360001,52.439999,52.439999,390100
2020-10-28,51.389999,53.119999,49.849998,52.240002,52.240002,616600
2020-10-29,46.000000,50.509998,45.090000,49.520000,49.520000,2437500
2020-10-30,49.060001,49.380001,46.660000,48.000000,48.000000,677500
2020-11-02,48.820000,48.820000,44.680000,47.250000,47.250000,885600
2020-11-03,48.520000,49.080002,46.820000,48.270000,48.270000,701800
2020-11-04,48.610001,53.400002,48.610001,53.080002,53.080002,865300
2020-11-05,53.639999,54.799999,51.939999,54.570000,54.570000,325600
2020-11-06,54.500000,55.419998,53.139999,54.990002,54.990002,412500
2020-11-09,55.599998,59.509998,54.689999,57.980000,57.980000,552200
2020-11-10,54.250000,59.759998,53.700001,57.950001,57.950001,686700
2020-11-11,58.770000,60.959999,57.680000,60.779999,60.779999,460400
2020-11-12,60.000000,61.330002,57.720001,58.189999,58.189999,431500
2020-11-13,58.599998,60.029999,58.250000,59.009998,59.009998,264200
2020-11-16,59.669998,60.270000,57.980000,59.549999,59.549999,295100
2020-11-17,58.959999,60.150002,58.240002,59.869999,59.869999,429600
2020-11-18,59.880001,62.810001,57.740002,57.869999,57.869999,380000
2020-11-19,57.740002,58.650002,55.970001,56.919998,56.919998,281500
2020-11-20,56.060001,56.450001,54.009998,56.060001,56.060001,417300
2020-11-23,56.860001,57.900002,54.799999,57.279999,57.279999,523400
2020-11-24,57.970001,58.009998,55.720001,55.950001,55.950001,464000
2020-11-25,56.270000,56.270000,53.810001,54.000000,54.000000,761900
2020-11-27,53.970001,55.900002,53.450001,55.810001,55.810001,197800
2020-11-30,55.160000,57.180000,54.380001,55.150002,55.150002,483000
2020-12-01,56.360001,56.360001,54.150002,55.740002,55.740002,304900
2020-12-02,55.770000,56.119999,54.270000,55.810001,55.810001,324800
2020-12-03,56.349998,57.139999,55.520000,56.060001,56.060001,510500
2020-12-04,56.720001,57.830002,56.000000,57.470001,57.470001,363700
2020-12-07,57.330002,58.980000,56.799999,57.310001,57.310001,472000
2020-12-08,56.970001,59.560001,56.410000,59.119999,59.119999,383100
2020-12-09,59.830002,59.939999,56.869999,57.759998,57.759998,353900
2020-12-10,57.950001,59.160000,57.000000,57.959999,57.959999,440000
2020-12-11,58.560001,63.029999,58.320000,60.709999,60.709999,1010000
2020-12-14,61.889999,65.199997,61.459999,62.849998,62.849998,865100
2020-12-15,63.810001,65.400002,62.290001,65.160004,65.160004,614800
2020-12-16,65.400002,65.410004,60.889999,60.950001,60.950001,553300
2020-12-17,60.740002,61.450001,59.740002,60.849998,60.849998,473100
2020-12-18,61.430000,61.430000,58.810001,60.689999,60.689999,1538800
2020-12-21,60.029999,61.180000,59.250000,59.730000,59.730000,603500
2020-12-22,59.410000,63.500000,58.509998,61.560001,61.560001,1201300
2020-12-23,62.240002,62.299999,60.310001,61.970001,61.970001,428000
2020-12-24,62.990002,64.099998,60.119999,60.549999,60.549999,186800
2020-12-28,61.500000,63.680000,59.619999,61.750000,61.750000,363200
2020-12-29,61.930000,62.540001,59.330002,61.490002,61.490002,296600
2020-12-30,61.220001,63.360001,61.220001,62.320000,62.320000,385600
2020-12-31,62.430000,62.540001,61.119999,61.919998,61.919998,732200
2021-01-04,62.299999,62.990002,58.730000,58.900002,58.900002,730400
2021-01-05,58.830002,59.380001,57.139999,57.349998,57.349998,389600
2021-01-06,57.200001,58.770000,56.389999,57.549999,57.549999,452800
2021-01-07,58.209999,59.720001,58.029999,59.500000,59.500000,411200
2021-01-08,59.930000,62.820000,57.970001,62.779999,62.779999,435200
2021-01-11,62.799999,63.049999,61.040001,62.330002,62.330002,433900
2021-01-12,62.669998,63.250000,60.580002,60.930000,60.930000,704700
2021-01-13,61.139999,61.900002,60.099998,61.709999,61.709999,379300
2021-01-14,62.290001,64.150002,61.959999,63.389999,63.389999,526700
2021-01-15,63.029999,63.880001,60.790001,62.020000,62.020000,362500
2021-01-19,63.220001,63.540001,60.360001,60.880001,60.880001,544200
2021-01-20,61.459999,63.950001,60.700001,62.820000,62.820000,800400
2021-01-21,63.020000,63.709999,60.900002,63.279999,63.279999,463500
2021-01-22,62.540001,64.489998,60.080002,64.400002,64.400002,564500
2021-01-25,64.449997,67.430000,64.000000,64.820000,64.820000,797500
2021-01-26,65.010002,65.070000,59.000000,59.290001,59.290001,531000
2021-01-27,58.090000,58.410000,53.830002,56.380001,56.380001,811000
2021-01-28,57.259998,58.130001,54.970001,57.119999,57.119999,521200
2021-01-29,57.230000,58.730000,55.509998,57.009998,57.009998,370600
2021-02-01,57.840000,59.160000,56.000000,58.299999,58.299999,532300
2021-02-02,59.250000,61.799999,58.040001,61.590000,61.590000,427100
2021-02-03,61.330002,64.139999,60.750000,62.849998,62.849998,432000
2021-02-04,63.360001,67.480003,62.590000,65.970001,65.970001,451300
2021-02-05,66.430000,67.279999,65.349998,65.820000,65.820000,385300
2021-02-08,66.410004,68.930000,65.019997,68.059998,68.059998,540900
2021-02-09,68.129997,70.290001,64.699997,64.940002,64.940002,298500
2021-02-10,65.169998,65.790001,63.060001,63.349998,63.349998,309700
2021-02-11,63.939999,64.279999,61.759998,62.130001,62.130001,358700
2021-02-12,62.320000,63.240002,60.849998,61.669998,61.669998,338300
2021-02-16,62.459999,62.459999,60.189999,60.619999,60.619999,327000
2021-02-17,60.119999,62.540001,59.799999,61.639999,61.639999,399800
2021-02-18,62.230000,65.839996,61.750000,64.620003,64.620003,520000
2021-02-19,66.120003,68.320000,64.940002,67.620003,67.620003,575400
2021-02-22,65.750000,67.820000,65.680000,67.080002,67.080002,323000
2021-02-23,65.870003,67.820000,63.279999,66.440002,66.440002,700900
2021-02-24,66.760002,68.589996,65.589996,67.580002,67.580002,395700
2021-02-25,66.709999,68.400002,64.889999,65.870003,65.870003,451100
2021-02-26,66.120003,69.010002,65.309998,67.839996,67.839996,429000
2021-03-01,68.669998,69.339996,66.910004,68.400002,68.400002,525000
2021-03-02,68.410004,70.209999,66.330002,66.800003,66.800003,583700
2021-03-03,67.449997,67.519997,62.130001,62.360001,62.360001,534300
2021-03-04,61.049999,62.160000,56.689999,57.209999,57.209999,727300
2021-03-05,58.439999,58.709999,55.270000,57.240002,57.240002,596200
2021-03-08,57.380001,59.230000,55.000000,55.290001,55.290001,399000
2021-03-09,56.209999,58.060001,55.689999,56.080002,56.080002,418100
2021-03-10,56.770000,57.570000,54.860001,55.369999,55.369999,459500
2021-03-11,56.490002,57.849998,55.299999,57.740002,57.740002,534000
2021-03-12,57.490002,58.389999,56.470001,57.660000,57.660000,316600
2021-03-15,57.250000,58.880001,56.590000,58.020000,58.020000,276900
2021-03-16,58.430000,59.150002,56.520000,56.910000,56.910000,382100
2021-03-17,56.740002,57.080002,55.279999,56.799999,56.799999,272900
2021-03-18,55.490002,56.799999,53.060001,53.520000,53.520000,359000
2021-03-19,53.930000,58.689999,53.900002,58.119999,58.119999,1276400
2021-03-22,58.459999,59.599998,56.040001,56.990002,56.990002,370500
2021-03-23,56.529999,56.709999,54.200001,54.759998,54.759998,401500
2021-03-24,56.150002,56.150002,51.540001,51.689999,51.689999,454600
2021-03-25,51.439999,52.250000,49.240002,51.119999,51.119999,539900
